Order ID,Invoice,Ref,,Status,Tax date,Delivery due,Drop-ship,Contact,Amount,Paid,Actions
PO#359745,,Catherine July2015/2,No stock items received,PO Emailed To Supplier,05 Jun 2015,01 Jul 2015,No,Cherry Melon ,"R29,610.36",R0.00,
,,,,,,,,,,,
PO#359744,,Catherine July2015/2,No stock items received,PO Emailed To Supplier,05 Jun 2015,29 Jun 2015,No,Cherry Melon ,"R23,643.60",R0.00,
,,,,,,,,,,,
PO#359362,,black bootleg jeans,Stock items partially received,Dynaman - Goods received,04 Jun 2015,10 Jun 2015,No,edit-GNP wear ,"R8,488.44",R0.00,
,,,,,,,,,,,
PO#359315,,Karma size 38,All stock items received,Dynaman - Goods received,04 Jun 2015,05 Jun 2015,No,Karma Karma Collection,"R1,396.50",R0.00,
,,,,,,,,,,,
PO#359252,,Khani- July Wedding,No stock items received,Cancel PO,04 Jun 2015,17 Jun 2015,No,ELIGERE - Reverse Clothing ,"R10,260.00",R0.00,
,,,,,,,,,,,
PO#359192,,Khani - jul wedding,No stock items received,PO Emailed To Supplier,04 Jun 2015,26 Jun 2015,No,Jacoba ,"R21,967.80",R0.00,
,,,,,,,,,,,
PO#359154,,extra t-shirts with cuffs,Stock items partially received,Dynaman - Goods Part Received,04 Jun 2015,04 Jun 2015,No,C INCH-Pink Velvet ,R991.80,R0.00,
,,,,,,,,,,,
PO#359153,,Chic,No stock items received,Dynaman - PO Created,04 Jun 2015,17 Jun 2015,No,Chic Longfield Trading,R478.80,R0.00,
,,,,,,,,,,,
PO#359123,,replen oversized collar coat,Stock items partially received,Dynaman - Goods received,04 Jun 2015,08 Jun 2015,No,edit-Pink Velvet ,"R12,568.50",R0.00,
,,,,,,,,,,,
PO#359081,,side slit maxi skirt,Stock items partially received,Dynaman - Goods Part Received,04 Jun 2015,08 Jun 2015,No,edit-Kate Jordan ,"R10,773.00",R0.00,
,,,,,,,,,,,
PO#359027,,Catherine June2015/2,Stock items partially received,Dynaman - Goods received,04 Jun 2015,05 Jun 2015,No,EDIT-CHAPATTI ,"R52,343.10",R0.00,
,,,,,,,,,,,
PO#358311,,Khanitah2 October2014/1,Stock items partially received,Dynaman - Goods received,03 Jun 2015,08 Jun 2015,No,edit-hk xiaopin finery ,R836.26,R0.00,
,,,,,,,,,,,
PO#358211,,jeannemarie_gomes_july_2015,Stock items partially received,Dynaman - Goods received,03 Jun 2015,17 Jun 2015,No,Ruff Tung ,"R4,788.00",R0.00,
,,,,,,,,,,,
PO#358092,,Diane3 June2015/2,No stock items received,Dynaman - PO Created,18 Jun 2015,18 Jun 2015,No,Rebel Republic Sage,"R31,030.80",R0.00,
,,,,,,,,,,,
PO#358091,,Diane3 June2015/1,Stock items partially received,Dynaman - Goods received,10 Jun 2015,10 Jun 2015,No,Pop Candy Twin Clothing,"R26,128.80",R0.00,
,,,,,,,,,,,
PO#358088,,Marianne Fassler- Replenishment INVESTMENT,All stock items received,Dynaman - Goods received,03 Jun 2015,04 Jun 2015,No,Marianne Fassler ,"R2,092.50",R0.00,
,,,,,,,,,,,
PO#358086,,OS- 05.06.2015,No stock items received,Draft PO,03 Jun 2015,08 Jun 2015,No,WAREHOUSE OVERSUPPLY WAREHOUSE OVERSUPPLY,"R11,055.62",R0.00,
,,,,,,,,,,,
PO#358076,,Catherine July2015/4,Stock items partially received,Dynaman - Goods received,03 Jun 2015,01 Jun 2015,No,edit-Shanny Clothing ,"R16,691.20",R0.00,
,,,,,,,,,,,
PO#358075,,Catherine July2015/3,No stock items received,Draft PO,03 Jun 2015,06 Jun 2015,No,EDIT-CHAPATTI ,"R6,612.00",R0.00,
,,,,,,,,,,,
PO#358074,,Catherine July2015/2,Stock items partially received,Dynaman - Goods received,03 Jun 2015,15 Jun 2015,No,Cherry Melon ,"R7,496.64",R0.00,
,,,,,,,,,,,
PO#358073,,Catherine July2015/1,No stock items received,PO Emailed To Supplier,03 Jun 2015,15 Jul 2015,No,Me-a-mama ,"R11,856.45",R0.00,
,,,,,,,,,,,
PO#358026,,Jean1 July2015/2,No stock items received,PO Emailed To Supplier,03 Jun 2015,22 Jun 2015,No,Leigh Schubert Leigh Schubert Clothing,"R23,849.71",R0.00,
,,,,,,,,,,,
PO#358025,,Jean1 July2015/1,No stock items received,PO Emailed To Supplier,03 Jun 2015,22 Jun 2015,No,Michelle Ludek ,"R32,736.94",R0.00,
,,,,,,,,,,,
PO#357344,,Replen Revenge,Stock items partially received,Dynaman - Goods received,02 Jun 2015,08 Jun 2015,No,Revenge ,"R2,280.00",R0.00,
,,,,,,,,,,,
PO#357298,,pleated skirt,No stock items received,Dynaman - PO Created,02 Jun 2015,05 Jun 2015,No,edit-Pink Velvet ,"R10,698.60",R0.00,
,,,,,,,,,,,
PO#357193,,zendesk,No stock items received,PO Emailed To Supplier,02 Jun 2015,04 Jun 2015,No,Watson ,"R5,198.40",R0.00,
,,,,,,,,,,,
PO#357114,,,-,Draft PO,02 Jun 2015,04 Jun 2015,No,Watson ,R0.00,R0.00,
,,,,,,,,,,,
PO#356584,,theory design - oversupply jacket,All stock items received,Dynaman - Goods received,01 Jun 2015,01 Jun 2015,No,edit - Theory Designs ,"R1,311.00",R0.00,
,,,,,,,,,,,
PO#356583,,#Teez,Stock items partially received,Dynaman - Goods received,01 Jun 2015,03 Jun 2015,No,Style Republic-CHAPATTI ,"R13,252.50",R0.00,
,,,,,,,,,,,
PO#356286,,SAMPLES,No stock items received,Dynaman - PO Created,01 Jun 2015,04 Jun 2015,No,Ruff Tung ,R330.50,R0.00,
,,,,,,,,,,,
PO#354817,,long sleeve fold over dress,Stock items partially received,Dynaman - Goods received,29 May 2015,02 Jun 2015,No,C INCH-Pink Velvet ,"R11,947.20",R0.00,
,,,,,,,,,,,
PO#354525,,Kristy1 July2015/1,No stock items received,PO Emailed To Supplier,29 May 2015,08 Jul 2015,No,Dazzle ,"R53,671.20",R0.00,
,,,,,,,,,,,
PO#354524,,Jean July2015/5,No stock items received,Dynaman - PO Created,29 May 2015,22 Jun 2015,No,Fortune ,"R3,990.00",R0.00,
,,,,,,,,,,,
PO#354523,,Jean July2015/4,No stock items received,PO Emailed To Supplier,29 May 2015,08 Jul 2015,No,Levi's Levi Strauss South Africa,"R12,522.97",R0.00,
,,,,,,,,,,,
PO#354522,,Jean July2015/3,No stock items received,PO Emailed To Supplier,29 May 2015,06 Jul 2015,No,Amanda Laird Cherry Amanda Laird Cherry Cc,"R19,613.70",R0.00,
,,,,,,,,,,,
PO#354521,,Jean July2015/2,No stock items received,PO Emailed To Supplier,29 May 2015,06 Jul 2015,No,Guess The House Of Busby,"R28,352.00",R0.00,
,,,,,,,,,,,
PO#354520,,Jean July2015/1,No stock items received,PO Emailed To Supplier,29 May 2015,22 Jun 2015,No,Tart ,"R44,850.26",R0.00,
,,,,,,,,,,,
